Expressions,Description
back out (of) sth 1*(to decide not to do something that you had said you would do:You agreed to come. You can't back out now!They backed out of the deal the day before they were due to sign the contract),
get by (with) 1*(to be able to live or deal with a situation with difficulty, usually by having just enough of something you need, such as money:How can he get by with so little money?We can get by with four computers at the moment, but we'll need a couple more when the new staff arrives.There is tremendous pressure on families trying to get by without health insurance.),
Ask sb out 1,
Bear sth in mind (that) 1,
Tell sth/sb apart 1,
turn sth on 1,
turn sb on 1,
dress up (as) sth 1*,
dress up 1*,
go beyond sth 1 (exceed)*,
flip sb off 1,
knock sb out 1,
sleep over (at)1*,
Hold sb Down 3 (sb in the floor, rights or freedom, keep sb from developing sth)*,
Keep sb from ing sth 1*,
Calm sb down 1,
Tie sb down 1 (tied in the floor),
Come off (as/like) 1*,
Come off 1*(to become detached or be capable of being detached),
Miss out (on) sth 1*(to fail to use an opportunity to enjoy or get an advantage from something:Don't miss out on the fantastic bargains in our summer sale.We didn't have a TV at home when I was young, and I felt as though I missed out.),
think of sth 1 *,
walk out 1*,
Break through sth 2(to force yourself through something that is holding you back:Protesters broke through the barriers.High waves broke through the barrier beach, you achieve success even though there are difficulties and obstacles.There is still scope for new writers to break through. I broke through the poverty barrier and it was education that did it.)*,
spit sth out 1,
Push through 1*(To force oneself to continue making progress despite difficulties, setbacks, fatigue, etc.I was so tired on the hike back to camp that I felt like I could barely take another step, but I knew I had to push through before the sun went down.Problems kept mounting at every turn, but we were so far into the project's development at that point that all we could do was keep pushing through),
Hit on sb 1*,
Wrap sth up 2 (wrap, finish sth),
Fall for sb 1*,
Fall for sth 1*,
run sth by sb 1*(If you run something by someone, you tell them about it or mention it, to see if they think it is a good idea, or can understand it.Would you run your idea by me one more time?,I'm definitely interested, but I'll have to run it by Larry Estes),
Take (sth/sb) away from sb/sth 1,
Boss sb around 1,
Lock sb up 1*,
Check out 2(to go to a place in order to see what it is like:Let's check out that new dance club,to examine something or get more information about it in order to be certain that it is true, safe, or suitable:We'll need to check out his story.),
Check sb out 1,
Check (it/that/this) out 1,
Swell up 1*,
Call for sb 1*,
Fix sth up 1(to repair, decorate or make something ready,They fixed up the house before they moved in,Nick loves fixing up old cars.),
Fix sb with sb 1(to arrange for somebody to have a meeting with somebody who might become a boyfriend or girlfriend,Jacques tried to fix me up with his older sister,),
Fix sb with sth 1(to arrange for somebody to have something; to provide somebody with something I'll fix you up with a place to stay,Can he fix us up with somewhere to stay,Before he left town Pat saw to it that I was fixed up with a job),
Snap out (of ) sht 1*,
Nose around (in) 1*,
Ask around (for) 1*,
Screw sb over 1,
Look around 2(shopping,literal)*,
Lay on sth 1*(recostarse),
Glance through sth 2 (literal,book)*,
Look through sth 2 (literal,book)*,
Rent out 1*,
Keep sth to oneself 1,
Get away from sb/sth 1*,
come from 2 (place,origin)*,
where sb is coming from 1*,
Root for sb/sth 1*,
Beef sth up 1 (make something stronger or more important ,to increase or improve something, or to make it more interesting),
Jack up 1 (increase price)*,
Stick to sth 1*,
Know of sb/sth 1*,
Speak out loud 1*,
Read out loud 1*,
Believe in 1*,
Pick sth out 1,
be off 2(weird/strange, free of work or school)*,
trick sb into ing 1*,
turn sth/sb down 1(He offered her a trip to Australia but she turned it/him down.He turned down the job because it involved too much traveling.),
turn sth down 1,
talk sth over (with sb) 1(to discuss something carefully and completely, especially in order to reach an agreement or make a decision. You'll find it helpful to talk things over with a friend. They talked over the proposal and decided to give it their approval),
Catch on (to sth) 1 (understand something) *,
Take sth (it/bad feling) out on sb 1*,
Hear sb out 1,
dive into sth 2 (start sth, water/sea/bodies of water)*,
man up 1*,
drop by 1*( To visit someone at some non-specific time in the future. Often stated as an invitation.If you still have questions on the material, why don't you drop by my office sometime, and we'll go over everything step by step.Be sure to drop by the next time you're in the area.2. To come over briefly (to someone's location) in order to deliver someone or something.."I'll drop by the tools after lunch),
crack sb up 1,
turn sth around 1,
quiet down 1*,
gang up on sb 2 (discussion,figth)*,
run away (from) sb/sth 1*,
run away (with sb) 1*(to leave a person or place in order to live with and have a sexual relationship with (someone)),
level sth up 1(to improve or increase, or to make something improve or increase, so that it is as good as something else: Pension benefits for women have been levelled up to match those of men,A late field goal has leveled up the game between these two powerhouses!You can wedge scraps of wood underneath the decking to level it up),
blow sb away 1 (impress/excite),
get away with (ing) sth 1*,
throw sth away 1,
let sb (in/into sth) 1,
call sb back 1,
hop on sth 1*,
sneak around 1*(1. To move around (some place) in a quiet, sneaky, inconspicuous, or furtive manner.Why are you sneaking around the back yard like that? Are you trying to hide something?I hate sneaking around like this, but I don't want Sarah to know what I'm planning for her birthday.We need to get into that warehouse, but I don't know how we're going to sneak around those guards.),
sneak up on sb 1*,
lead sb astray 1,
Head out 1*,
Branch out (into ing sth)* 1 (related or different)(extend or expand one's activities or interests in a new direction."the company is branching out into Europe"to start a business activity or a job that is different from your usual activity or job:As well as looking after their film production company, the couple have branched out and launched their own furniture business.It was the first ad company to branch out into marketing services in a big way),
Shoot sb/sth down 1,
Back off 1*,
Chill out 1*,
pop up 1 (appear unexpectedly)*,
drag on (for) 1 (go on for too long)*,
Take on sth 2*(work/responsibility,to fight or compete against someone or something:I’ll take you on in a game of chess.You have to be brave to take on a big corporation in court)*,
Rinse sth off 1(wash off soap or remaining dirt),
Rinse sth out 1 (washing it with water especially a container),
fall through 1 (fail to happen)*,
fall through sth 1 (literal)*,
Sleep through sth 1*,
Name sb/sth after sb/sth  1*,
head up 1*,
head back 1*,
head off 1*,
Throw oneself at sb 1*,
Laugh sth off 1,
Think back (to) sth 1*(to remember something that happened in the past:It might help you to understand Julia if you think back to when you were her ageIt's a little bittersweet to think back to that time in my life when I was so young and carefree.Thinking back on my family growing up, I realize how close my siblings and I once were),
Put sth out 1 (stop from burning or shinning /fire/candle/cigarrete),
Throw up 1*,
Stand up 1*,
Stand sb up 1,
Stand up to sb/sth 1*,
run for sth 1*(to compete in an election:He's running for mayor again this year.),
rise up against sb/sth 1* (To rebel or revolt against someone or something; to begin resisting or defying someone or something.After their pay was cut a third time, the employees rose up against the management and began an organized strike.Citizens around the country have begun rising up in response to the military's seizure of power.),
light sth up 2 why(make a place bright, light sth cigarrete/candle),
settle for sb/sth 1*,
Turn to sb (for sth) 1*,
Live up to 2 (sb´s expectations)(sb´s name)*,
Wuss out (of sth) 1*,
empty sth out 1 (remove all the contents of some space or container),
Hold sth down 1( keep something at a low level or to prevent it from rising),The rate of inflation must be held down.),
go off 2(bomb/alarm, expired/rotten)*,
BE/get run over (by ) 1,*
Run sb/sth  over 1,
Step sth up 1,
set sb up 2(to provide somebody with the money, trick sb),
set sth up 2(to start something such as a business, organization, or institution,  to make a piece of equipment or a machine ready for use),
put in sth 1 (time/effort)*,
put sth into sth  2 (give time/effort, to improve something by adding a particular quality to it)*,
warm up to sth/sb1 *,
warm sth up1,
warm up 1*,
keep up with sb/sth 2 (speed, to learn about or be aware of the news, current events, etc.
She likes to keep up with the latest fashions,to do whatever is necessary to stay level or equal with someone or something:He started to walk faster and the children had to run to keep up.Wages are failing to keep up with inflation.It's a fast pace, and you'll have to work hard to keep up.They pioneered the product, but now they have to keep up with the competition as regards innovation and price.It was difficult to keep up with all the orders that were coming in. )*,
keep sth up 1 (continue to do sth),
keep sb up 1(to prevent someone from going to bed),
Grow up 2 ( stop behaving like a child and become wiser, to develop into an adult)*,
Put up with sb/sth 1*,
kick off with sth 1(begin)*,
kick off sth 1(begin)*,
hit sb up 1 (contact),
Rip sb off 1,
Rip sth off 1,
Put sth off 1(postpone),
Put sb off 1 (to make sb dislike sb or sth orn trust them/ it)(to make someone not like someone or something, or not want to do something:Jan was talking about her operation and it put me off my food.to make someone dislike someone or something or not trust them/itShe's very smart but her manner does tend to put people off.Don't be put off by how it looks—it tastes delicious.),
Put sth on 4 (music,clothes,apply sth to your skin/hair,weight)(poner en general),
Put sb on  1 (give somebody the phone) ,
Come on 2 (come,expression)*,
Ask for sth/sb 1*,
Break up (with) sb 1*,
Break up sth 1(fight)*,
Break up 1 (sound)*,
Mess with sb 2 (mock, associate/involve)*,
Mess with sth 1(play/fiddle without permission)*,
Mess with sb´s head 1*,
hold oneself together 1*,
put sth into practice 1*,
wipe sb/sth out 1 (to destroy or remove sb/sth completly),
let sb down 1,
rely on sb/sth 1,
get over sth 1 (literal)*,
get over sth/sb 1*,
get sth over with 1*,
fall behind sb/sth 2(speed, fail to keep level) *,
fall behind with sb (progress)*,
fall behind with sth (payments/fail to do sth)*,
turn into sb/sth 1*,
give sth away 1 (present),
give sb/sth away (secret info or info),  
move on (to sth) 1 (to start doing or discussing something new) *,
move on *(emotionally,),
fill sth in 1 to give written information, esp. by completing a form:Please fill in the application and sign it.,
fill sb in 1,
fill in for sb 1*,
look forward to (ing) sth 1*,
Make up (with sb) 1*,
Make sth up 1(to invent a story, excuse,poem,etc.),
Make-up 1*,
Make (it) up to sth 1*,
carry on (with/ ing sth) 1*,
slow sth down 1 (speed),
slow sth/sb down 1 (to be less active and relax more),
stick together 1*,
heat sth up 1,
heat up 1 (if a situation heats up, it becomes more exciting, dangerous, or serious)*,
cover sth up 2 (to hide the truth ,cover),
cover up 1 (blankets)*,
cover (yourself/myself) up 1 (put on clothes or more clothes)*,
round sth/sb up 1 (gather),
round sth up (to) 1,
To be left behind 1 (leave in a place, make much better progress)*,
Leave sb/sth behind 1 (leave in a place, make much better progress),
Do sth over 1,
Start over 1*,
Average out (to/at ) 1*,
Answer for sth 1 (to accept responsibility or blame for something )*,
Whip sth up 1,
get to sb 1*,
mark sb/sth down as sth 1,
Sing out loud 1*,
Lean on sb/sth 2(literal, depend on sth or  sb for help and support)*,
round down to sth 1*,
cuss sb out 1,
get past sb/sth 1*,
hand sth over (to sb)1,
Fill sth out 1,
Pig out (on sth) 1*,
shy away (from (ing) sth ) 1*,
set out 1 (for some place )*,
set out to do sth 1 (to start doing or working on something in order to achieve a goal)*,
set out on sth 2 (begin a journey ,to start doing or working on something in order to achieve a goal)*,
Cheer sb up 1,
tie sth/sb up 1,
put sth aside 2(problems,literal),
blow sb off 1,
abide by sth 1*,
Set about (ing) sth 1*,
Crap out 1* (stop working or functioning),
Drop sth/sb off (at)1,
Sit around sth 1 ( to spend time doing nothing)*,
Pump sth up 1,
 Mount up 1*,
Cash in (on) 1 (to use an opportunity to make a profit or gain an advantage)* ,
Pass sth around 1,
Lay sth out 1 ( To spend or invest a certain (typically large) amount of money on a particular person or thing. ) ,
Lay sth/sb out 1 (To prepare or arrange someone's body before a wake, funeral, or burial.),
Fuck sb over 1 ,
Push sb around 1 (to tell someone what to do in a rude way:I'm fed up with being pushed around,Europeans sometimes feel the Americans are trying to push them around.),
Scare sb away/off 1,
close in 1(To approach very quickly or become imminent, as of a deadline) *,
close in (on sb/sth)1*(to come or move nearer or closer to (someone or something) The fire was closing in on their neighborhood. The camera slowly closed in on the actor's face. Police were closing in on the two men.),
Doze off 1 (to start to sleep, especially during the day and without intending to)*,
Walk away 1 (to leave a place, situation, or person)*,
Go away 1*,
Look away 1*,
Cool down 2 (cool, become or to cause sb to become less angry or excited)*,
Leave sb/sth out (out of sth) 1 ,
Eat out 1*,
Eat sb out 1,
Let sb/sth out 1 ,
Spread sth out 1 (to scattered or distribute across a wide area),
Spread out 1,
Look ahead 1 (looking ahead) *,
Look back (on) 1 (looking back (on)) *,
Keep sth off sth 1 (to not touch something, or to prevent something from touching something),
Keep off sth 1 *,
Go against sb/sth 2*(to oppose or be in disagreement with something or someone:What you’re asking me to do goes against everything I believe in.Anytime they go against each other, you know it’s going to be a good fight.),
Get around 1*,
Get on with (it) sth 1*,
Back away 1*(to move backward away from something or someone, usually because you are frightened:
She saw that he had a gun and backed away.), 
Back away (from) 1*(to show that you do not support a plan or idea any longer and do not want to be involved with it:
The governor has backed away from plans to increase taxes.),
Shop around 1*,
Slice sth off 1 (to slice something from a larger piece)* ,
Chop sth up 1 (to cut (something) into small pieces),
Peel sth off 1 (To remove the outermost layer of something, such as skin, paint, rind, etc),
Peel sth off sth  1 (To remove the outermost layer of something, such as skin, paint, rind, etc),
Get on sth 1 (the bus,the plain,train )*,
Hold up 1*,
Hold sth/sb up 1(​to delay or block the movement or progress of somebody/something
An accident is holding up traffic.), 
Hold-up 1*,
Speed sth up 1,
Save up (for sth ) 1* ,
Care for sb/sth 2 (To act as a caretaker, To have a strong feeling of love or affection)*,
Stock up on sth 1*(to buy a large amount of something so that you will have enough for the future:I hadn’t stocked up on food, so I wasn’t ready to feed Kate and her friends.to buy a lot of something so that you can use it laterWe ought to stock up on sun cream before our trip.),
Join in (sth) 1*,
Brighten up 1 (the weather)* ,
Clear up (the weather)*,
Clear sth up 1 (To make clear or understandable),
Come by swh 1*,
Log in ( to sth)1*,
Log out ( of sth) 1*,
Get rid of (sb/sth) 1*,
Break away  (from sb/sth) 1 *(f you break away from someone who is trying to hold you or catch you, you free yourself and run away.I broke away from him and rushed out into the hall. [VERB PARTICLE + from] Willie Hamilton broke away early in the race. [VERB PARTICLE] If you break away from something or someone that restricts you or controls you, you succeed in freeing yourself from them.Many contemporary designers have tried to break away from classical formal patterns. [VERB The group broke away from the Labour Party in 1932. ),
Be onto something 1*,
Trip on sth  1*, 
Scroll down/up 1 (on)*
bounce back to swh1*,
lure sb with sth 1* supermarket chains try to lure customers with price discounts.),
to lure sb into sth 1* (to persuade someone to do something or go somewhere by offering them something exciting: She was lured into the job by the offer of a high salary,
watch sth/sb over 1,
double down on sth 1* (to continue to do something in an even more determined way than before:jokes, opinions, lies, bad behavior),Expect to see Fox double down on its marketing efforts to give the movie a big boost.Instead of learning from his mistakes, he's doubling down.
hit it off  with sb 1*(to be friendly with each other immediately:We had similar ideas about the show, and the two of us hit it off right away.)
whip sth out 1: (to take (something) out or off quickly and suddenly. Bob whipped out his notebook.)
Cash out sth 1*( cash in (sense 1)2.  to sell a stock, bond, property, etc. and convert the value into cash), 
Stand out 1*(  to be very noticeable:The black lettering really stands out on that orange background,Grammatical errors are always obvious to me, spelling mistakes stand out, to be much better than other similar things or people:He played the violin, and he stood out from all the other musicians,We had lots of good applicants for the job, but one stood out from the rest), 
Narrow sth down 1 (To pare the number of people or things on a list down to a more manageable or select number. A noun or pronoun can be used between "narrow" and "down."We've narrowed down our list of candidates to just three, but it's going to be nigh impossible to choose from them.Let's narrow it down to just our very top choices, otherwise we'll never pick a place to go),
Shoot up 1* (to put illegal drugs into your blood using a special needle:She saw a girl shooting up in the restroom.),
Clean after sb 1*(to remove dirt or problems that someone has made:I'm fed up with cleaning up after you all the time.I feel like I'm constantly cleaning up after my kids whenever they eat a meal. I swear, more of their food ends up on the floor than in their mouths!Don't worry about making a mess. The cleaners will clean up after us.),
Work sb up 1 (to make yourself or another person feel upset or feel strong emotions:Try not to work yourself up about your finals.Nationalist speeches worked the crowd up into a frenzy),
Mellow down 1* (: to become relaxed and calm. She mellowed out as she grew older. : to calm down),
Reach out to sb 1* (to communicate with someone, especially by using a phone, sending them an email, etc.:The Washington Post reached out to Turner for comment.Feel free to reach out if you have any questions about study abroad.),
Yap about sb/sth 1* (To talk or chatter loudly, irritatingly, or inanely about someone or something.These two girls sitting behind me spent the whole plane ride yapping about the boys they liked in their school.I turned the radio off once the DJ started yapping about political issues.),
Hide out 1* (to stay somewhere where you cannot be found:Criminals often hide out in these empty apartments,The gangsters hid out in a remote cabin until it was safe to return to the city.)
Lighten up 1* (to become more relaxed and less serious:Oh, lighten up! I was only joking!I wish she'd just lighten up.)
Sneak in 1* (To enter (some place) in a quiet, sneaky, inconspicuous, or furtive manner, so as not to be detected.The burglar snuck in without making a sound.Marty got caught sneaking in to the house way past his curfew),
Sneak out 1* (To leave a place or a gathering while trying to avoid being seen or heard. I had another meeting at 1 p.m. so I had to sneak out of the lunch meeting. We decided to sneak out to meet some friends after my parents went to sleep),
Wear off 1* (If a feeling or the effect of something wears off, it gradually disappears:Most patients find that the numbness from the injection wears off after about an hour."the effects of the drug were wearing off,The vaccine wears off after 10 years),
Cancel sth out 1 (to remove the effect of one thing by doing another thing that has the opposite effect:This month's pay check will cancel out his debt, but it won't give him any extra money,You can't be creative and critical at the same time – one cancels out the other,The new tax rates will cancel out any financial benefits to the company.),
gather sb/sth around (To convene or assemble around a particular person or thing.All of the kids eagerly gathered around Santa Claus.Come on, fellas, gather round the campfire!Santa Claus gathered all of the children around himself to hand out gifts.Please gather everyone around the campfire.),
Rule sth/sb out 1 (to decide or say officially that something is impossible or will not happen, or that something or someone is not suitable:The police haven't yet ruled out murder.I won't rule out a June election.The police have not ruled him out as a suspect.She has refused to rule out the possibility of singing again),
Call in 1* (to phone the place where you work  1Jay called in to say he’d be late, i will call in sick),
Walk in on sb 1* (to go into a room and see what someone is doing, when they did not want to be seen:She walked in on me when I was getting undressed.),
Prey on sth 1* (If an animal preys on another animal, it catches and eats it:The spider preys on small flies and other insects.),
Prey on sth/sb 1 *(Someone who preys on a group of people tries to get something from them illegally or unfairly:These telemarketers prey on the elderly and call them 5 or 10 times a day.to try to deceive or harm weaker people religious cults that specialize in preying on young people))
Rip sth apart 1 (to completely destroy (something) by tearing it into pieces. The child ripped the toy apart),
Chew on sth 1* (to bite or gnaw on something.The baby has been completely miserable lately, except for when he's chewing on a teething ring.The dog was chewing on my shoe.),
Drive sb/sth away 2(to leave in a vehicle; to take someone away in a vehicleWe heard him drive away.Someone drove the car away in the night.o make someone not want to stay or not want to go somewhereHer constant nagging drove him away. Terrorist threats are driving away tourists.),
Drift away from sb 1* (To gradually become distant from someone after a period of closeness.Andrea and I never had a big fight or anything, we just drifted away from each other over the years, and now I hardly ever see her.)
Fade away 1* (to slowly disappear, lose importance, or become weaker:The voices became louder and closer and then faded away again.As the years passed, the memories faded away)
Gamble on/with sth 1* ( to take a risk that something will happen:You're rather gambling on it being a nice day by holding the party in the garden, aren't you?)Few firms will be willing to gamble on new products.  They are not prepared to gamble their careers on this matter. Who wants to gamble with the life of a friend?)
slip in sth * (to include especially without warning or in a way that is not obvious,He managed to slip in a few jokes during his speech.she slipped in a question about the length of time he'd been working on the assignment)
hold sb off 1(to stop someone from attacking or defeating you:How much longer will the resistance fighters be able to hold off the enemy?,She held off all the last-minute challengers and won the race in a new record time),
Wise up 1* (to start to understand a situation or fact and believe what you hear about it, even if it is difficult or unpleasant:Those who think this is a harmless recreational drug should wise up.It's about time employers wised up to the fact that employees who are happy work more efficiently.),
flesh sth out 1 (to add more details or information to something:These plans need to be fleshed out with some more figures, Emily should have included these pieces of information to flesh out her argument, These points were fleshed out in the later parts of the speech)
Hack into sth  1* (to get into someone else's computer system without permission in order to find out information or do something illegal:Computer hacking has become widespread over the last decade.A programmer had managed to hack into some top-secret government data.He claimed they had spied on him and tried to hack his computer.),
Stack sth up 1 (to keep increasing in quantity until there is a large pile, a long line, etc.apilarCars quickly stacked up behind the bus.During the strike, refuse has been stacking up in the streets.),
catch sb out 1 (to trick someone into making a mistake:The examiner will try to catch you out, so stay calm and think carefully before you speak, that question totally caught me out),
rust sth up 1 (To become thoroughly corroded by rust, especially as to cause something not to work or be able to move correctlyThe nuts and bolts have all rusted up, so getting these brackets off is going to be a pain in the butt.
You see here? The engine block is totally rusted up, meaning we'll have the replace the whole thing.
You should have kept your bike in a shed or something, because the rain has completely rusted the chain up.The sea air in this town rusts up machines really badly, so we constantly have to have our things repaired or replaced.),
suck it up 1*(accept something unpleasant or difficult),
knock sth/sb down 1 (to cause someone or something to fall to the ground by hitting him, her, or it),
time out 1* (A brief pause, break, or hiatus from something.I wish I had taken time out before starting this job—that might have kept me from getting burned out so quickly,Take time out for lunch. Work will still be here when you get back.),
Close sth  down 1(if a business or organization closes down or someone closes it down, it stops operating:The local factory closed down in June.A spokesperson denied that they had bought the company in order to close it down),
Psych sb out 1 (to cause someone to lose confidence in dealing with a difficult situation:He hit a couple of bad shots at the start and I think it just psyched him out.),
Walk sb through sth 1 (to slowly and carefully explain something to someone or show someone how to do something: She walked me through the six-page document. He'll walk you through the procedure. )
look out!! 1*,
Pull sb through sth 1(to succeed in dealing with a difficult period, or to help someone do this:He'd never have managed on his own, but his colleagues have pulled him through.It was a crisis year for the company, but we have pulled through),
deceive sb into sth 1 (trick),
Coach sb through sth 1,
goof around 1* (to spend your time doing silly or stupid things),
kick back 1* (to stop doing things and relax:What good is life if a guy can’t kick back and watch a good movie?),
Pass on sth 2*(to give something to someone, after someone else gave it to you,to refuse an opportunity or decide not to take part in something)
 





 
 
 



